ID,unwing,wing,log2FoldChange,padj
CL1767.Contig2_All,21833.9794939058,6798.94676180805,1.65905078497194,0.0108314491098475
Unigene13975_All,395.852266287675,104.783328702129,1.98564562642503,0.0108314491098475
Unigene27187_All,35.500365425669,0.794395713898828,5.70400406749554,0.0108862556027104
Unigene4207_All,367.346910187625,116.314195345638,1.66517803243059,0.0108862556027104
Unigene750_All,56.2946345425857,7.35627324662806,2.99093417511701,0.0114928879532252
CL3675.Contig7_All,3504.59978344839,952.089239770404,1.8969635569898,0.0116398190592941
Unigene23892_All,30.8615178609105,0,6.25437877208795,0.0118340874991064
Unigene9675_All,57.2095326155722,3.29869170775661,6.12053234416926,0.0118340874991064
Unigene24784_All,95.5284317659431,4.94455178180581,3.58522488853904,0.0118559377313256
CL2194.Contig1_All,750.385194267464,118.152965235677,2.81627115776681,0.0119521698891041
CL2803.Contig1_All,329.368951282391,81.7493756490627,2.19036068578501,0.0119521698891041
CL3057.Contig2_All,79.1682526372066,7.73171104054481,3.89530140793919,0.0124299134249765
CL1990.Contig1_All,588.638346784093,182.118767815495,1.82239926821575,0.0132908548797723
Unigene21051_All,5089.86921454849,2252.51529280391,2.04766296830004,0.0132908548797723
CL1680.Contig2_All,3624.04649349186,1507.10995132928,1.36768896593753,0.0140544567408633
Unigene1792_All,53.9609843649389,4.01549869555947,3.91759127848204,0.0141073541692956
CL1.Contig8_All,837.137293804508,166.462718145951,1.79842384290385,0.0145005867647833
CL3338.Contig3_All,480.651306432982,167.593850346686,1.58354983263252,0.0145005867647833
CL2980.Contig1_All,1202.79600607644,329.003628549341,1.89702288061858,0.0154551614828146
CL2367.Contig3_All,35.5273078047697,0.688272664677092,5.78262569070309,0.0154850006747044
Unigene12423_All,253.349727207842,68.0232717470937,1.87667156059036,0.0160527124944871
Unigene7730_All,88.048944300073,13.1102065452723,2.53303873280382,0.0160629441337902
Unigene29142_All,89.6986377891196,2.77361073855279,5.25314970265784,0.016401209196394
CL3646.Contig5_All,10342.7785687448,21393.3351341113,3.3407736100832,0.0167116002212735
Unigene9716_All,37.1325236109882,2.93680243402607,3.70227856207561,0.0167420679161078
CL1767.Contig4_All,149236.299217194,49863.8268717441,1.64826532726404,0.0172339598867629
Unigene4206_All,248.820443377652,76.822215896232,1.74032647727326,0.0172680848160962
CL2306.Contig1_All,384.853198149959,116.462869577643,1.72615171718856,0.0175186648374304
Unigene22520_All,132.725276984593,24.4318814008665,2.59811408953776,0.0175954081139155
Unigene9679_All,130.116783910914,33.6974005902036,2.26757247445778,0.0182858125071475
Unigene27009_All,34.0826160606528,0.794395713898828,5.0551863426949,0.0184124560330223
Unigene913_All,1198.4310306071,342.171189490567,1.77519722971117,0.0184124560330223
